collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2021411040768,2021,411040768,1,1,3,2,15,3,2,5,3,0,0,0,0,8,E01033027,7,1,1,0,-1
2021010296300,2021,010296300,1,1,1,1,27,6,3,0,0,0,0,0,3,5,E01001524,-1,0,0,1,-1
2021070629081,2021,070629081,1,1,1,1,38,7,3,0,0,0,0,0,3,2,E01018714,-1,0,0.06126,0.93874,-1
2021201115699,2021,201115699,2,1,2,1,27,6,3,0,0,1,0,0,9,3,E01032241,3,1,0,1,-1
202134WNC0911,2021,34WNC0911,2,2,2,2,68,10,3,0,0,1,0,0,9,-1,-1,-1,0,0.01108,0.98892,-1
2021461124907,2021,461124907,1,1,1,1,34,6,3,0,0,0,0,0,9,7,E01032737,3,1,0,1,-1
202163B080821,2021,63B080821,1,1,1,1,65,9,3,0,0,0,0,0,9,-1,-1,-1,0,0.15558,0.84442,-1
2021010288015,2021,010288015,1,1,3,2,67,10,3,1,9,0,0,0,0,-1,-1,-1,0,0,1,-1
2021622100206,2021,622100206,1,1,1,1,35,6,3,0,0,0,0,0,3,9,W01001921,-1,0,0.11597,0.88403,-1
2021991067214,2021,991067214,1,1,1,1,46,8,2,0,0,0,0,0,5,1,E01004797,5,1,1,0,-1
2021041076438,2021,041076438,2,1,1,1,49,8,3,0,0,0,0,0,9,4,E01012712,3,1,0,1,-1
2021010321281,2021,010321281,1,1,1,1,27,6,3,0,0,0,0,0,1,3,E01004019,-1,0,0,1,-1
2021522200487,2021,522200487,2,1,1,1,51,8,3,0,0,0,0,0,5,8,E01014868,-1,0,0.08992,0.91008,-1
2021221037976,2021,221037976,1,1,1,1,75,10,3,0,0,0,0,0,9,7,E01006580,3,1,0,1,-1
2021332100271,2021,332100271,2,1,1,2,79,11,3,0,0,0,0,0,9,8,E01025613,-1,0,0.02512,0.97488,-1
2021991128343,2021,991128343,1,1,2,1,21,5,3,0,0,2,0,0,9,8,-1,3,1,0,1,-1
2021010314375,2021,010314375,1,1,1,1,29,6,3,0,0,0,0,0,1,8,E01001302,-1,0,0,1,-1
2021991040571,2021,991040571,2,1,1,1,61,9,3,0,0,0,0,0,1,6,-1,3,1,0,1,-1
2021061103658,2021,061103658,3,2,2,2,14,3,3,0,0,1,0,0,9,3,E01011824,3,1,0,1,-1
2021501058713,2021,501058713,1,1,1,2,20,4,3,0,0,0,0,0,9,6,E01019011,3,1,0,1,-1
2021430186805,2021,430186805,2,1,1,1,33,6,3,0,0,0,0,0,1,2,E01016847,-1,0,0.15995,0.84005,-1
2021061130403,2021,061130403,1,1,1,1,35,6,1,0,0,0,0,0,9,1,E01004862,1,1,0,0,-1
2021421043025,2021,421043025,2,1,2,2,24,5,3,0,0,1,0,0,9,7,E01021971,3,1,0,1,-1
2021622100978,2021,622100978,1,1,1,1,22,5,3,0,0,0,0,0,9,7,W01000758,-1,0,0.01804,0.98196,-1
2021131112332,2021,131112332,1,2,2,2,30,6,2,0,0,1,0,0,9,1,E01010632,7,1,1,0,-1
2021351106492,2021,351106492,1,1,3,1,11,3,3,5,1,0,0,0,0,7,E01018025,3,1,0,1,-1
2021501112590,2021,501112590,1,1,1,1,46,8,3,0,0,0,0,0,9,6,E01019016,3,1,0,1,-1
2021411090603,2021,411090603,1,1,1,1,89,11,1,0,0,0,0,0,22,5,E01023727,1,1,0,0,-1
2021101120068,2021,101120068,1,1,3,1,8,2,3,5,1,0,0,0,0,1,E01008625,3,1,0,1,-1
2021010317724,2021,010317724,1,1,1,1,40,7,3,0,0,0,0,0,1,4,E01004338,-1,0,0,1,-1
2021010329585,2021,010329585,1,1,1,2,28,6,3,0,0,0,0,0,9,1,E01000891,-1,0,0,1,-1
2021221022941,2021,221022941,1,1,1,1,38,7,2,0,0,0,0,0,1,5,E01032264,7,1,1,0,-1
2021010328098,2021,010328098,1,2,2,2,-1,-1,3,0,0,0,9,0,11,2,E01004090,-1,0,0,1,-1
2021010347289,2021,010347289,1,1,1,1,27,6,2,0,0,0,0,0,1,2,E01002872,-1,0,1,0,-1
2021141061105,2021,141061105,1,1,1,1,32,6,1,0,0,0,0,0,5,4,E01011153,1,1,0,0,-1
2021041017246,2021,041017246,1,1,3,2,25,5,2,1,1,0,0,0,0,6,E01012719,7,1,1,0,-1
2021302101694,2021,302101694,2,1,1,1,13,3,3,0,0,0,0,0,1,9,E01019703,-1,0,0.05276,0.94724,-1
2021070051894,2021,070051894,3,3,1,1,63,9,3,0,0,0,0,0,19,3,E01005079,-1,0,0.03758,0.96242,-1
2021501122172,2021,501122172,2,2,2,1,1,1,3,0,0,0,0,0,19,1,E01015261,3,1,0,1,-1
2021440361358,2021,440361358,1,1,3,2,14,3,3,1,3,0,0,0,0,1,E01022933,-1,0,0.08102,0.91898,-1
2021471041900,2021,471041900,1,1,3,2,18,4,2,1,1,0,0,0,0,4,E01016986,6,1,1,0,-1
2021122100283,2021,122100283,1,2,2,2,81,11,3,0,0,1,0,0,9,7,E01027766,-1,0,0.08952,0.91048,-1
2021131046593,2021,131046593,2,1,1,1,49,8,3,0,0,0,0,0,9,8,E01011514,3,1,0,1,-1
2021131072392,2021,131072392,1,2,1,2,43,7,3,0,0,0,0,0,9,3,E01011806,3,1,0,1,-1
2021471121078,2021,471121078,1,1,1,2,86,11,3,0,0,0,0,0,9,9,E01031623,3,1,0,1,-1
2021501049911,2021,501049911,2,1,1,2,30,6,3,0,0,0,0,0,9,6,E01015136,3,1,0,1,-1
2021311127817,2021,311127817,1,2,2,2,64,9,3,0,0,1,0,0,9,3,E01028030,3,1,0,1,-1
2021010308858,2021,010308858,1,1,3,1,75,10,3,5,3,0,0,0,0,3,E01002521,-1,0,0,1,-1
2021101011394,2021,101011394,1,1,3,2,45,7,3,5,3,0,0,0,0,2,E01033545,3,1,0,1,-1
2021421087802,2021,421087802,2,1,1,1,21,5,2,0,0,0,0,0,1,3,E01033722,7,1,1,0,-1
2021522102939,2021,522102939,2,1,1,2,23,5,3,0,0,0,0,0,3,6,E01014677,-1,0,0.08871,0.91129,-1
2021201131991,2021,201131991,2,1,1,2,24,5,3,0,0,0,0,0,9,3,E01008890,3,1,0,1,-1
2021061034693,2021,061034693,2,1,1,2,58,9,3,0,0,0,0,0,19,5,E01011096,3,1,0,1,-1
2021501120619,2021,501120619,1,1,3,2,71,10,3,6,9,0,0,0,0,9,E01020186,3,1,0,1,-1
2021522103271,2021,522103271,2,2,1,1,42,7,2,0,0,0,0,0,3,2,E01014659,-1,0,1,0,-1
2021122100538,2021,122100538,1,4,2,1,8,2,3,0,0,2,0,0,9,1,E01010609,-1,0,0.04369,0.95631,-1
2021991049441,2021,991049441,2,1,1,1,40,7,3,0,0,0,0,0,21,5,-1,3,1,0,1,-1
