collision_index,collision_year,collision_ref_no,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre_historic,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane_historic,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver_historic,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,generic_make_model,driver_imd_decile,lsoa_of_driver,escooter_flag,driver_distance_banding
2021371073032,2021,371073032,1,9,0,18,19,7,3,0,0,0,1,0,1,0,4,1,5,6,1,86,11,6200,1,48,-1,9,E01021681,0,-1
2021010330300,2021,010330300,1,3,0,9,9,3,1,0,0,8,5,0,0,0,4,1,2,2,1,23,5,124,1,6,-1,9,E01004079,0,-1
2021010331714,2021,010331714,1,3,0,99,99,9,9,99,99,9,9,99,9,99,1,1,2,2,1,27,6,124,1,7,-1,3,E01000535,0,-1
2021471076364,2021,471076364,2,9,0,17,19,7,4,0,0,1,0,0,0,0,1,1,5,6,1,70,10,1968,2,14,DODGE CALIBER,3,E01022904,0,-1
2021451012299,2021,451012299,2,9,0,4,4,7,3,0,0,0,0,0,0,0,2,1,5,6,2,42,7,1998,1,13,DODGE CALIBER,2,E01016117,0,-1
2021131038600,2021,131038600,2,9,0,2,2,0,0,0,0,0,0,0,0,0,2,1,5,6,2,32,6,1798,1,13,DODGE CALIBER,8,E01010861,0,-1
202134WNC7081,2021,34WNC7081,4,9,0,18,19,1,5,0,0,0,0,0,0,0,1,1,2,2,1,37,7,1998,1,13,DODGE CALIBER,-1,-1,0,-1
2021201131119,2021,201131119,2,9,0,2,2,0,0,9,9,1,0,4,0,0,1,1,6,6,1,41,7,1998,1,14,DODGE CALIBER,2,E01009348,0,-1
2021010316366,2021,010316366,2,9,0,18,19,1,5,0,0,1,0,0,0,0,1,1,6,6,2,54,8,1798,1,15,DODGE CALIBER,1,E01001821,0,-1
2021010334950,2021,010334950,2,9,0,5,5,5,1,0,0,8,0,0,0,0,3,1,6,6,2,46,8,1998,1,14,DODGE CALIBER,2,E01001014,0,-1
2021170H10201,2021,170H10201,2,9,0,18,19,6,2,0,0,1,0,0,0,0,1,1,6,6,3,-1,-1,1968,2,15,DODGE CALIBER,-1,-1,0,-1
2021061055379,2021,061055379,1,9,-1,18,19,7,3,0,0,1,0,0,0,0,1,1,3,7,2,55,8,1998,1,14,DODGE CALIBER,1,E01005485,0,-1
2021061033620,2021,061033620,1,9,0,9,9,3,1,0,0,2,0,0,0,0,1,1,2,2,2,32,6,1998,1,13,DODGE CALIBER,1,E01005918,0,-1
2021302101276,2021,302101276,1,9,0,18,19,8,4,0,0,1,0,0,0,0,1,1,2,2,1,33,6,1968,2,12,DODGE CALIBER,2,E01019646,0,-1
2021552101008,2021,552101008,2,9,0,18,19,5,2,0,0,8,0,0,0,0,1,1,6,6,1,40,7,1998,1,15,DODGE CALIBER,5,E01015380,0,-1
2021131094215,2021,131094215,1,9,0,5,5,8,4,0,0,8,0,0,0,0,4,1,5,6,1,47,8,1798,1,14,DODGE CALIBER,3,E01010600,0,-1
2021010293819,2021,010293819,1,9,0,9,9,5,3,0,0,6,0,0,0,0,1,1,6,6,3,-1,-1,1998,1,12,DODGE CALIBER,-1,-1,0,-1
2021122101063,2021,122101063,2,9,0,3,3,7,3,0,0,8,0,0,0,0,2,1,6,6,2,34,6,1968,2,14,DODGE CALIBER,9,E01027663,0,-1
2021010319540,2021,010319540,2,5,0,4,4,1,5,0,0,2,0,0,0,0,0,1,1,1,1,56,9,904,1,21,-1,5,E01003067,0,-1
2021201066770,2021,201066770,1,9,0,4,4,2,6,0,0,3,0,0,0,0,1,1,6,6,1,36,7,1368,1,14,FIAT BRAVO,1,E01010238,0,-1
2021522200450,2021,522200450,2,9,0,3,3,2,6,0,0,7,0,0,0,0,2,1,6,6,1,23,5,1368,1,11,FIAT BRAVO,1,E01014639,0,-1
